Kelas,Hari,Jam Kuliah,Waktu,Kode MK,Mata Kuliah,Pengampu,Ruang,Kode dosen
IL 2B,Selasa,8,13.15 - 14.00,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2B,Selasa,9,14.00 - 14.45,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2B,Selasa,10,14.45 - 15.30,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2B,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 2B,Selasa,11,16.00 - 16.45,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2B,Selasa,12,16.45 - 17.30,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2B,Selasa,13,17.30 - 18.15,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2B,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,,-
IL 2B,Selasa,14,18.45 - 19.30,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2B,Rabu,1,07.00 - 07.45,433-231-308,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
IL 2B,Rabu,2,07.45 - 08.30,433-231-308,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
IL 2B,Rabu,3,08.30 - 09.15,433-231-308,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
IL 2B,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2B,Rabu,4,09.35 - 10.20,433-231-308,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
IL 2B,Rabu,5,10.20 - 11.05,433-231-308,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
IL 2B,Rabu,6,11.05 - 11.50,433-231-308,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
IL 2B,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2B,Rabu,7,12.30 - 13.15,433-231-308,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
IL 2B,Rabu,8,13.15 - 14.00,433-231-308,Rancangan Listrik Kendali Industri,"Eriko Arvin Karuniawan S.ST., M.Eng.",LabBar,EA
IL 2B,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2B,Kamis,4,09.35 - 10.20,433-231-310,Elektronika Daya I,"Byan Bagas Pradana S.T., M.T.",GKT.710,BB
IL 2B,Kamis,5,10.20 - 11.05,433-231-310,Elektronika Daya I,"Byan Bagas Pradana S.T., M.T.",GKT.710,BB
IL 2B,Kamis,6,11.05 - 11.50,433-231-310,Elektronika Daya I,"Byan Bagas Pradana S.T., M.T.",GKT.710,BB
IL 2B,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2B,Kamis,7,12.30 - 13.15,433-231-309,Statistik dan Stokastik,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
IL 2B,Kamis,8,13.15 - 14.00,433-231-309,Statistik dan Stokastik,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
IL 2B,Kamis,9,14.00 - 14.45,433-231-309,Statistik dan Stokastik,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
IL 2B,Jumat,1,07.00 - 07.45,433-231-305,Pembangkit Tenaga Listrik,"Ir. Mochammad Muqorrobin, M.Eng./DR. PHIL. Yusuf Dewantoro Herlambang, S.T., M.T.",LabMeka,"MM, DH"
IL 2B,Jumat,2,07.45 - 08.30,433-231-305,Pembangkit Tenaga Listrik,"Ir. Mochammad Muqorrobin, M.Eng./DR. PHIL. Yusuf Dewantoro Herlambang, S.T., M.T.",LabMeka,"MM, DH"
IL 2B,Jumat,3,08.30 - 09.15,433-231-305,Pembangkit Tenaga Listrik,"Ir. Mochammad Muqorrobin, M.Eng./DR. PHIL. Yusuf Dewantoro Herlambang, S.T., M.T.",LabMeka,"MM, DH"
IL 2B,Jumat,ISTIRAHAT,ISTIRAHAT,-,-,-,,
IL 2B,Jumat,4,09.35 - 10.20,433-231-305,Pembangkit Tenaga Listrik,"Ir. Mochammad Muqorrobin, M.Eng./DR. PHIL. Yusuf Dewantoro Herlambang, S.T., M.T.",LabMeka,"MM, DH"
IL 2B,Jumat,5,10.20 - 11.05,433-231-304,Pancasila,"Febrina Indrasari, S.H.,M.H.",SBI/08,FI
IL 2B,Jumat,6,11.05 - 11.50,433-231-304,Pancasila,"Febrina Indrasari, S.H.,M.H.",SBI/08,FI
IL 2B,Jumat,8,13.15 - 14.00,433-231-301,Bahasa Inggris Teknik II,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",UPA-EN,"DA, DAV"
IL 2B,Jumat,9,14.00 - 14.45,433-231-301,Bahasa Inggris Teknik II,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",UPA-EN,"DA, DAV"
IL 3A,Senin,1,07.00 - 07.45,433-201-509,PLC II,"Aggie Brenda Vernandes,ST.,MT",LabPLC,ABV
IL 3A,Senin,2,07.45 - 08.30,433-201-509,PLC II,"Aggie Brenda Vernandes,ST.,MT",LabPLC,ABV
IL 3A,Senin,3,08.30 - 09.15,433-201-509,PLC II,"Aggie Brenda Vernandes,ST.,MT",LabPLC,ABV
IL 3A,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3A,Senin,4,09.35 - 10.20,433-201-509,PLC II,"Aggie Brenda Vernandes,ST.,MT",LabPLC,ABV
IL 3A,Senin,5,10.20 - 11.05,433-201-509,PLC II,"Aggie Brenda Vernandes,ST.,MT",LabPLC,ABV
IL 3A,Senin,6,11.05 - 11.50,433-201-509,PLC II,"Aggie Brenda Vernandes,ST.,MT",LabPLC,ABV
IL 3A,Senin,9,14.00 - 14.45,433-201-502,Bahasa Inggris Teknik II,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",SBI/08,"DA, DAV"
IL 3A,Senin,10,14.45 - 15.30,433-201-502,Bahasa Inggris Teknik II,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",SBI/08,"DA, DAV"
IL 3A,Selasa,1,07.00 - 07.45,433-201-501,Analisis Sistem Tenaga,"Pangestuningtyas Diah Larasati, S.T., M.T.",GKT.711,P
IL 3A,Selasa,2,07.45 - 08.30,433-201-501,Analisis Sistem Tenaga,"Pangestuningtyas Diah Larasati, S.T., M.T.",GKT.711,P
IL 3A,Selasa,3,08.30 - 09.15,433-201-501,Analisis Sistem Tenaga,"Pangestuningtyas Diah Larasati, S.T., M.T.",GKT.711,P
IL 3A,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3A,Selasa,4,09.35 - 10.20,433-201-501,Analisis Sistem Tenaga,"Pangestuningtyas Diah Larasati, S.T., M.T.",GKT.711,P
IL 3A,Selasa,9,14.00 - 14.45,433-201-503,Distribusi Tenaga Listrik,"Drs. Agus Adiwismono, M.Eng.",SBI/08,AA
IL 3A,Selasa,10,14.45 - 15.30,433-201-503,Distribusi Tenaga Listrik,"Drs. Agus Adiwismono, M.Eng.",SBI/08,AA
IL 3A,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3A,Selasa,11,16.00 - 16.45,433-201-503,Distribusi Tenaga Listrik,"Drs. Agus Adiwismono, M.Eng.",SBI/08,AA
IL 3A,Selasa,12,16.45 - 17.30,433-201-503,Distribusi Tenaga Listrik,"Drs. Agus Adiwismono, M.Eng.",SBI/08,AA
IL 3A,Rabu,1,07.00 - 07.45,433-201-511,Praktikum Kendali Mikro II,"Aggie Brenda Vernandes,ST.,MT",LabMikro,ABV
IL 3A,Rabu,2,07.45 - 08.30,433-201-511,Praktikum Kendali Mikro II,"Aggie Brenda Vernandes,ST.,MT",LabMikro,ABV
IL 3A,Rabu,3,08.30 - 09.15,433-201-511,Praktikum Kendali Mikro II,"Aggie Brenda Vernandes,ST.,MT",LabMikro,ABV
IL 3A,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3A,Rabu,4,09.35 - 10.20,433-201-511,Praktikum Kendali Mikro II,"Aggie Brenda Vernandes,ST.,MT",LabMikro,ABV
IL 3A,Rabu,5,10.20 - 11.05,433-201-511,Praktikum Kendali Mikro II,"Aggie Brenda Vernandes,ST.,MT",LabMikro,ABV
IL 3A,Rabu,6,11.05 - 11.50,433-201-511,Praktikum Kendali Mikro II,"Aggie Brenda Vernandes,ST.,MT",LabMikro,ABV
IL 3A,Rabu,8,13.15 - 14.00,433-201-504,Elektronika Daya II,"Yusnan Badruzzaman, S.T., M.Eng.",SBII/01,YB
IL 3A,Rabu,9,14.00 - 14.45,433-201-504,Elektronika Daya II,"Yusnan Badruzzaman, S.T., M.Eng.",SBII/01,YB
IL 3A,Rabu,10,14.45 - 15.30,433-201-504,Elektronika Daya II,"Yusnan Badruzzaman, S.T., M.Eng.",SBII/01,YB
IL 3A,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3A,Rabu,11,16.00 - 16.45,433-201-504,Elektronika Daya II,"Yusnan Badruzzaman, S.T., M.Eng.",SBII/01,YB
IL 3A,Kamis,5,10.20 - 11.05,433-201-506,Managemen Industri dan Projek,"Ir. Setyoko, M.M.",SBI/08,SE
IL 3A,Kamis,6,11.05 - 11.50,433-201-506,Managemen Industri dan Projek,"Ir. Setyoko, M.M.",SBI/08,SE
IL 3A,Kamis,9,14.00 - 14.45,433-201-508,Penggunaan Mesin Listrik,"Dr. Dwiana Hendrawati , S.T., M.T./Nur Hidayat Arief S.T., M.T.",GKT.711,"NHA,DWN"
IL 3A,Kamis,10,14.45 - 15.30,433-201-508,Penggunaan Mesin Listrik,"Dr. Dwiana Hendrawati , S.T., M.T./Nur Hidayat Arief S.T., M.T.",GKT.711,"NHA,DWN"
IL 3A,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3A,Kamis,11,16.00 - 16.45,433-201-508,Penggunaan Mesin Listrik,"Dr. Dwiana Hendrawati , S.T., M.T./Nur Hidayat Arief S.T., M.T.",GKT.711,"NHA,DWN"
IL 3A,Kamis,12,16.45 - 17.30,433-201-508,Penggunaan Mesin Listrik,"Dr. Dwiana Hendrawati , S.T., M.T./Nur Hidayat Arief S.T., M.T.",GKT.711,"NHA,DWN"
IL 3A,Jumat,1,07.00 - 07.45,433-201-507,Manajemen Energi Elektrik,"Pangestuningtyas Diah Larasati, S.T., M.T./Tejo Wihardiyono",GKT.710,"P, t"
IL 3A,Jumat,2,07.45 - 08.30,433-201-507,Manajemen Energi Elektrik,"Pangestuningtyas Diah Larasati, S.T., M.T./Tejo Wihardiyono",GKT.710,"P, t"
IL 3A,Jumat,3,08.30 - 09.15,433-201-507,Manajemen Energi Elektrik,"Pangestuningtyas Diah Larasati, S.T., M.T./Tejo Wihardiyono",GKT.710,"P, t"
IL 3A,Jumat,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3A,Jumat,4,09.35 - 10.20,433-201-507,Manajemen Energi Elektrik,"Pangestuningtyas Diah Larasati, S.T., M.T./Tejo Wihardiyono",GKT.710,"P, t"
IL 3A,Jumat,5,10.20 - 11.05,433-201-505,Kewirausahaan,"Ir. Setyoko, M.M.",SBI/06,SE
IL 3A,Jumat,6,11.05 - 11.50,433-201-505,Kewirausahaan,"Ir. Setyoko, M.M.",SBI/06,SE
IL 2C,Senin,1,07.00 - 07.45,433-231-305,Pembangkit Tenaga Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",LabMeka,MM
IL 2C,Senin,2,07.45 - 08.30,433-231-305,Pembangkit Tenaga Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",LabMeka,MM
IL 2C,Senin,3,08.30 - 09.15,433-231-305,Pembangkit Tenaga Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",LabMeka,MM
IL 2C,Senin,ISTIRAHAT,ISTIRAHAT,,-,-,,
IL 2C,Senin,4,09.35 - 10.20,433-231-305,Pembangkit Tenaga Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",LabMeka,MM
IL 2C,Senin,9,14.00 - 14.45,433-231-310,Elektronika Daya I,"Byan Bagas Pradana S.T., M.T.",SBI/08,BB
IL 2C,Senin,10,14.45 - 15.30,433-231-310,Elektronika Daya I,"Byan Bagas Pradana S.T., M.T.",SBI/08,BB
IL 2C,Senin,ISTIRAHAT,ISTIRAHAT,,-,-,,
IL 2C,Senin,11,16.00 - 16.45,433-231-310,Elektronika Daya I,"Byan Bagas Pradana S.T., M.T.",SBI/08,BB
IL 2C,Selasa,1,07.00 - 07.45,433-231-302,Instalasi Listrik Industri,"Drs. Daeng Supriyadi Pasisarha, S.T., M.Eng.",LabMeka,DS
IL 2C,Selasa,2,07.45 - 08.30,433-231-302,Instalasi Listrik Industri,"Drs. Daeng Supriyadi Pasisarha, S.T., M.Eng.",LabMeka,DS
IL 2C,Selasa,3,08.30 - 09.15,433-231-302,Instalasi Listrik Industri,"Drs. Daeng Supriyadi Pasisarha, S.T., M.Eng.",LabMeka,DS
IL 2C,Selasa,ISTIRAHAT,ISTIRAHAT,,-,-,,
IL 2C,Selasa,4,09.35 - 10.20,433-231-302,Instalasi Listrik Industri,"Drs. Daeng Supriyadi Pasisarha, S.T., M.Eng.",LabMeka,DS
IL 2C,Selasa,ISTIRAHAT,ISTIRAHAT,,-,-,,
IL 2C,Selasa,7,12.30 - 13.15,433-231-303,Mesin Mesin Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",LabMeka,MM
IL 2C,Selasa,8,13.15 - 14.00,433-231-303,Mesin Mesin Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",LabMeka,MM
IL 2C,Selasa,9,14.00 - 14.45,433-231-303,Mesin Mesin Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",LabMeka,MM
IL 2C,Selasa,10,14.45 - 15.30,433-231-303,Mesin Mesin Listrik,"Ir. Mochammad Muqorrobin, M.Eng.",LabMeka,MM
IL 2C,Rabu,9,14.00 - 14.45,433-231-308,Rancangan Listrik Kendali Industri,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabBar,AR
IL 2C,Rabu,10,14.45 - 15.30,433-231-308,Rancangan Listrik Kendali Industri,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabBar,AR
IL 2C,Rabu,ISTIRAHAT,ISTIRAHAT,,-,-,,
IL 2C,Rabu,11,16.00 - 16.45,433-231-308,Rancangan Listrik Kendali Industri,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabBar,AR
IL 2C,Rabu,12,16.45 - 17.30,433-231-308,Rancangan Listrik Kendali Industri,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabBar,AR
IL 2C,Rabu,13,17.30 - 18.15,433-231-308,Rancangan Listrik Kendali Industri,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabBar,AR
IL 2C,Rabu,ISTIRAHAT,ISTIRAHAT,,-,-,,
IL 2C,Rabu,14,18.45 - 19.30,433-231-308,Rancangan Listrik Kendali Industri,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabBar,AR
IL 2C,Rabu,15,19.30 - 20.15,433-231-308,Rancangan Listrik Kendali Industri,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabBar,AR
IL 2C,Rabu,16,20.15 - 21.00,433-231-308,Rancangan Listrik Kendali Industri,"Adeguna Ridlo Pramurti, S.Pd., M.Eng.",LabBar,AR
IL 2C,Kamis,3,08.30 - 09.15,433-231-309,Statistik dan Stokastik,"Dra. Endang Triyani, M.Pd.",SBI/09,ET
IL 2C,Kamis,ISTIRAHAT,ISTIRAHAT,,-,-,,
IL 2C,Kamis,4,09.35 - 10.20,433-231-309,Statistik dan Stokastik,"Dra. Endang Triyani, M.Pd.",SBI/09,ET
IL 2C,Kamis,5,10.20 - 11.05,433-231-309,Statistik dan Stokastik,"Dra. Endang Triyani, M.Pd.",SBI/09,ET
IL 2C,Kamis,ISTIRAHAT,ISTIRAHAT,,-,-,,
IL 2C,Kamis,7,12.30 - 13.15,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2C,Kamis,8,13.15 - 14.00,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2C,Kamis,9,14.00 - 14.45,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2C,Kamis,10,14.45 - 15.30,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2C,Kamis,ISTIRAHAT,ISTIRAHAT,,-,-,,
IL 2C,Kamis,11,16.00 - 16.45,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2C,Kamis,12,16.45 - 17.30,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2C,Kamis,13,17.30 - 18.15,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2C,Kamis,ISTIRAHAT,ISTIRAHAT,,-,-,,
IL 2C,Kamis,14,18.45 - 19.30,433-231-307,Praktikum Elektronika,"Syahid, S.T., M.Eng.",LabTim,SY
IL 2C,Jumat,3,08.30 - 09.15,433-231-304,Pancasila,"Febrina Indrasari, S.H.,M.H.",SBI/08,FI
IL 2C,Jumat,ISTIRAHAT,ISTIRAHAT,,-,-,,
IL 2C,Jumat,4,09.35 - 10.20,433-231-304,Pancasila,"Febrina Indrasari, S.H.,M.H.",SBI/08,FI
IL 2C,Jumat,5,10.20 - 11.05,433-231-301,Bahasa Inggris Teknik II,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",UPA-EN,"DA, DAV"
IL 2C,Jumat,6,11.05 - 11.50,433-231-301,Bahasa Inggris Teknik II,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",UPA-EN,"DA, DAV"
IL 3B,Senin,1,07.00 - 07.45,433-201-503,Distribusi Tenaga Listrik,"Drs. Agus Adiwismono, M.Eng.",MulMed,AA
IL 3B,Senin,2,07.45 - 08.30,433-201-503,Distribusi Tenaga Listrik,"Drs. Agus Adiwismono, M.Eng.",MulMed,AA
IL 3B,Senin,3,08.30 - 09.15,433-201-503,Distribusi Tenaga Listrik,"Drs. Agus Adiwismono, M.Eng.",MulMed,AA
IL 3B,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3B,Senin,4,09.35 - 10.20,433-201-503,Distribusi Tenaga Listrik,"Drs. Agus Adiwismono, M.Eng.",MulMed,AA
IL 3B,Senin,6,11.05 - 11.50,433-201-505,Kewirausahaan,"Ir. Setyoko, M.M.",SBI/06,SE
IL 3B,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3B,Senin,7,12.30 - 13.15,433-201-505,Kewirausahaan,"Ir. Setyoko, M.M.",SBI/06,SE
IL 3B,Senin,8,13.15 - 14.00,433-201-507,Manajemen Energi Elektrik,"Pangestuningtyas Diah Larasati, S.T., M.T./Tejo Wihardiyono",GKT.711,"P, t"
IL 3B,Senin,9,14.00 - 14.45,433-201-507,Manajemen Energi Elektrik,"Pangestuningtyas Diah Larasati, S.T., M.T./Tejo Wihardiyono",GKT.711,"P, t"
IL 3B,Senin,10,14.45 - 15.30,433-201-507,Manajemen Energi Elektrik,"Pangestuningtyas Diah Larasati, S.T., M.T./Tejo Wihardiyono",GKT.711,"P, t"
IL 3B,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3B,Senin,11,16.00 - 16.45,433-201-507,Manajemen Energi Elektrik,"Pangestuningtyas Diah Larasati, S.T., M.T./Tejo Wihardiyono",GKT.711,"P, t"
IL 3B,Selasa,1,07.00 - 07.45,433-201-509,PLC II,"Aggie Brenda Vernandes,ST.,MT",LabPLC,ABV
IL 3B,Selasa,2,07.45 - 08.30,433-201-509,PLC II,"Aggie Brenda Vernandes,ST.,MT",LabPLC,ABV
IL 3B,Selasa,3,08.30 - 09.15,433-201-509,PLC II,"Aggie Brenda Vernandes,ST.,MT",LabPLC,ABV
IL 3B,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3B,Selasa,4,09.35 - 10.20,433-201-509,PLC II,"Aggie Brenda Vernandes,ST.,MT",LabPLC,ABV
IL 3B,Selasa,5,10.20 - 11.05,433-201-509,PLC II,"Aggie Brenda Vernandes,ST.,MT",LabPLC,ABV
IL 3B,Selasa,6,11.05 - 11.50,433-201-509,PLC II,"Aggie Brenda Vernandes,ST.,MT",LabPLC,ABV
IL 3B,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3B,Selasa,7,12.30 - 13.15,433-201-504,Elektronika Daya II,"Yusnan Badruzzaman, S.T., M.Eng.",LabPLC,YB
IL 3B,Selasa,8,13.15 - 14.00,433-201-504,Elektronika Daya II,"Yusnan Badruzzaman, S.T., M.Eng.",LabPLC,YB
IL 3B,Selasa,9,14.00 - 14.45,433-201-504,Elektronika Daya II,"Yusnan Badruzzaman, S.T., M.Eng.",LabPLC,YB
IL 3B,Selasa,10,14.45 - 15.30,433-201-504,Elektronika Daya II,"Yusnan Badruzzaman, S.T., M.Eng.",LabPLC,YB
IL 3B,Rabu,3,08.30 - 09.15,433-201-506,Managemen Industri dan Projek,"Ir. Setyoko, M.M.",MulMed,SE
IL 3B,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3B,Rabu,4,09.35 - 10.20,433-201-506,Managemen Industri dan Projek,"Ir. Setyoko, M.M.",MulMed,SE
IL 3B,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3B,Rabu,7,12.30 - 13.15,433-201-511,Praktikum Kendali Mikro II,"Aggie Brenda Vernandes,ST.,MT",LabMikro,ABV
IL 3B,Rabu,8,13.15 - 14.00,433-201-511,Praktikum Kendali Mikro II,"Aggie Brenda Vernandes,ST.,MT",LabMikro,ABV
IL 3B,Rabu,9,14.00 - 14.45,433-201-511,Praktikum Kendali Mikro II,"Aggie Brenda Vernandes,ST.,MT",LabMikro,ABV
IL 3B,Rabu,10,14.45 - 15.30,433-201-511,Praktikum Kendali Mikro II,"Aggie Brenda Vernandes,ST.,MT",LabMikro,ABV
IL 3B,Rabu,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3B,Rabu,11,16.00 - 16.45,433-201-511,Praktikum Kendali Mikro II,"Aggie Brenda Vernandes,ST.,MT",LabMikro,ABV
IL 3B,Rabu,12,16.45 - 17.30,433-201-511,Praktikum Kendali Mikro II,"Aggie Brenda Vernandes,ST.,MT",LabMikro,ABV
IL 3B,Kamis,3,08.30 - 09.15,433-201-502,Bahasa Inggris Teknik II,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",GKT.710,"DA, DAV"
IL 3B,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3B,Kamis,4,09.35 - 10.20,433-201-502,Bahasa Inggris Teknik II,"Dewi Anggraeni, S.Pd., M.Pd./Danu Angga Vebriyanto",GKT.710,"DA, DAV"
IL 3B,Kamis,5,10.20 - 11.05,433-201-501,Analisis Sistem Tenaga,"Pangestuningtyas Diah Larasati, S.T., M.T.",GKT.711,P
IL 3B,Kamis,6,11.05 - 11.50,433-201-501,Analisis Sistem Tenaga,"Pangestuningtyas Diah Larasati, S.T., M.T.",GKT.711,P
IL 3B,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3B,Kamis,7,12.30 - 13.15,433-201-501,Analisis Sistem Tenaga,"Pangestuningtyas Diah Larasati, S.T., M.T.",GKT.711,P
IL 3B,Kamis,8,13.15 - 14.00,433-201-501,Analisis Sistem Tenaga,"Pangestuningtyas Diah Larasati, S.T., M.T.",GKT.711,P
IL 3B,Jumat,1,07.00 - 07.45,433-201-508,Penggunaan Mesin Listrik,"Dr. Dwiana Hendrawati , S.T., M.T./Nur Hidayat Arief S.T., M.T.",GKT.711,"NHA,DWN"
IL 3B,Jumat,2,07.45 - 08.30,433-201-508,Penggunaan Mesin Listrik,"Dr. Dwiana Hendrawati , S.T., M.T./Nur Hidayat Arief S.T., M.T.",GKT.711,"NHA,DWN"
IL 3B,Jumat,3,08.30 - 09.15,433-201-508,Penggunaan Mesin Listrik,"Dr. Dwiana Hendrawati , S.T., M.T./Nur Hidayat Arief S.T., M.T.",GKT.711,"NHA,DWN"
IL 3B,Jumat,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 3B,Jumat,4,09.35 - 10.20,433-201-508,Penggunaan Mesin Listrik,"Dr. Dwiana Hendrawati , S.T., M.T./Nur Hidayat Arief S.T., M.T.",GKT.711,"NHA,DWN"
LT 2D,Senin,1,07.00 - 07.45,331-211-310,Sistem Kendali,"Ir. Setyoko, M.M.",SBI/09,SE
LT 2D,Senin,2,07.45 - 08.30,331-211-310,Sistem Kendali,"Ir. Setyoko, M.M.",SBI/09,SE
LT 2D,Senin,3,08.30 - 09.15,331-211-310,Sistem Kendali,"Ir. Setyoko, M.M.",SBI/09,SE
LT 2D,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 2D,Senin,4,09.35 - 10.20,331-211-310,Sistem Kendali,"Ir. Setyoko, M.M.",SBI/09,SE
LT 2D,Senin,5,10.20 - 11.05,331-211-304,Elektronika Daya,"Byan Bagas Pradana S.T., M.T.",SBI/09,BB
LT 2D,Senin,6,11.05 - 11.50,331-211-304,Elektronika Daya,"Byan Bagas Pradana S.T., M.T.",SBI/09,BB
LT 2D,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 2D,Senin,7,12.30 - 13.15,331-211-304,Elektronika Daya,"Byan Bagas Pradana S.T., M.T.",SBI/09,BB
LT 2D,Senin,8,13.15 - 14.00,331-211-304,Elektronika Daya,"Byan Bagas Pradana S.T., M.T.",SBI/09,BB
LT 2D,Selasa,5,10.20 - 11.05,331-211-306,Mesin Listrik AC,"Haris Santosa, S.T., M. Kom.",SBI/09,HS
LT 2D,Selasa,6,11.05 - 11.50,331-211-306,Mesin Listrik AC,"Haris Santosa, S.T., M. Kom.",SBI/09,HS
LT 2D,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 2D,Selasa,7,12.30 - 13.15,331-211-306,Mesin Listrik AC,"Haris Santosa, S.T., M. Kom.",SBI/09,HS
LT 2D,Selasa,8,13.15 - 14.00,331-211-306,Mesin Listrik AC,"Haris Santosa, S.T., M. Kom.",SBI/09,HS
LT 2D,Selasa,9,14.00 - 14.45,331-211-305,Instalasi Cahaya,"Pangestuningtyas Diah Larasati, S.T., M.T.",SBI/06,P
LT 2D,Selasa,10,14.45 - 15.30,331-211-305,Instalasi Cahaya,"Pangestuningtyas Diah Larasati, S.T., M.T.",SBI/06,P
LT 2D,Selasa,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
LT 2D,Selasa,11,16.00 - 16.45,331-211-305,Instalasi Cahaya,"Pangestuningtyas Diah Larasati, S.T., M.T.",SBI/06,P
LT 2D,Selasa,12,16.45 - 17.30,331-211-305,Instalasi Cahaya,"Pangestuningtyas Diah Larasati, S.T., M.T.",SBI/06,P
LT 2D,Rabu,9,14.00 - 14.45,331-211-303,Distribusi Tenaga Listrik,"Drs. Agus Adiwismono, M.Eng.",SBI/09,AA
