Kelas,Hari,Jam Kuliah,Waktu,Kode MK,Mata Kuliah,Pengampu,Ruang,Kode dosen
IL 1A,Kamis,4,09.35 - 10.20,433-241-102,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBI/06,LE
IL 1A,Kamis,5,10.20 - 11.05,433-241-102,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBI/06,LE
IL 1A,Kamis,6,11.05 - 11.50,433-241-102,Elektronika Analog,"Lilik Eko Nuryanto, B.Eng., M.Kom.",SBI/06,LE
IL 1A,Kamis,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1A,Kamis,7,12.30 - 13.15,433-241-110,Rangkaian Listrik I,"Aggie Brenda Vernandes,ST.,MT",MulMed,ABV
IL 1A,Kamis,8,13.15 - 14.00,433-241-110,Rangkaian Listrik I,"Aggie Brenda Vernandes,ST.,MT",MulMed,ABV
IL 1A,Kamis,9,14.00 - 14.45,433-241-110,Rangkaian Listrik I,"Aggie Brenda Vernandes,ST.,MT",MulMed,ABV
IL 1A,Kamis,10,14.45 - 15.30,433-241-110,Rangkaian Listrik I,"Aggie Brenda Vernandes,ST.,MT",MulMed,ABV
IL 1A,Jumat,3,08.30 - 09.15,433-241-107,Matematika Dasar,"Dra. Endang Triyani, M.Pd.",SBI/09,ET
IL 1A,Jumat,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1A,Jumat,4,09.35 - 10.20,433-241-107,Matematika Dasar,"Dra. Endang Triyani, M.Pd.",SBI/09,ET
IL 1A,Jumat,5,10.20 - 11.05,433-241-107,Matematika Dasar,"Dra. Endang Triyani, M.Pd.",SBI/09,ET
IL 1A,Jumat,6,11.05 - 11.50,433-241-107,Matematika Dasar,"Dra. Endang Triyani, M.Pd.",SBI/09,ET
IL 1B,Senin,1,07.00 - 07.45,433-241-110,Rangkaian Listrik I,"Syahid, S.T., M.Eng.",SBI/06,SY
IL 1B,Senin,2,07.45 - 08.30,433-241-110,Rangkaian Listrik I,"Syahid, S.T., M.Eng.",SBI/06,SY
IL 1B,Senin,3,08.30 - 09.15,433-241-110,Rangkaian Listrik I,"Syahid, S.T., M.Eng.",SBI/06,SY
IL 1B,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1B,Senin,4,09.35 - 10.20,433-241-110,Rangkaian Listrik I,"Syahid, S.T., M.Eng.",SBI/06,SY
IL 1B,Senin,5,10.20 - 11.05,433-241-107,Matematika Dasar,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
IL 1B,Senin,6,11.05 - 11.50,433-241-107,Matematika Dasar,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
IL 1B,Senin,ISTIRAHAT,ISTIRAHAT,-,-,-,-,-
IL 1B,Senin,7,12.30 - 13.15,433-241-107,Matematika Dasar,"Dra. Endang Triyani, M.Pd.",SBI/08,ET
